"OBJECTNUMB,N,19,11","NAMEOBJECT,C,50","NAMEREGION,C,50","NAMEDISTR,C,50","NAMESETTLE,C,50","XCOORD,N,19,11","YCOORD,N,19,11"
"70639,00000000000","""Политехник БНТУ""",Минская обл.,Минский р-н,д. Зацень,"53,97991747550","27,51451891760"
"68965,00000000000","""Дубок-83""",Минская обл.,Воложинский р-н,д. Криница,"54,08052066510","27,15952973360"
"68986,00000000000","""Мечта"" Воложинский район",Минская обл.,Воложинский р-н,д. Криница,"54,08363780560","27,16237019420"
"68950,00000000000","""Обувщик-луч""",Минская обл.,Воложинский р-н,д. Костюки,"54,05922429310","27,11083997660"
"72680,00000000000","""Родник"" д.Шаповалы",Минская обл.,Воложинский р-н,д. Шаповалы,"54,04462487990","27,16050319910"
"68983,00000000000","""Сельский строитель-2001""",Минская обл.,Воложинский р-н,д. Криница,"54,08250499630","27,15069051460"
"68734,00000000000","""Принта-Дружба""",Минская обл.,Вилейский р-н,д. Принта,"54,49274763990","26,74234261080"
"72437,00000000000","""Полет - плюс""",Минская обл.,Узденский р-н,д. Тристенец,"53,49556005830","27,49367101790"
"78115,00000000000","Садоводческий кооператив ""Чабарок"" Столбцовский р*",Минская обл.,Столбцовский р-н,п. Колосово,"53,52190319950","26,89285443830"
"72380,00000000000",Витамин,Минская обл.,Столбцовский р-н,аг. Засулье,"53,55853868080","26,89468493700"
"72403,00000000000",Садовод 2002,Минская обл.,Столбцовский р-н,аг. Засулье,"53,57498706680","26,89309902510"
"72132,00000000000","""Автотранспортник-2002""",Минская обл.,Смолевичский р-н,д. Плющай,"53,81967405370","27,90064418660"
"72133,00000000000","""АгроБелОИ-1""",Минская обл.,Смолевичский р-н,д. Рудомейка,"54,07448670050","27,89798586180"
"72136,00000000000","""Амкодор-2002""",Минская обл.,Смолевичский р-н,д. Загорье,"53,99696295040","27,97968306750"
"72138,00000000000","""Березка""",Минская обл.,Смолевичский р-н,д. Гончаровка,"53,98199299200","27,89311220190"
"72139,00000000000","""Березка"" д.Калюжки",Минская обл.,Смолевичский р-н,д. Буда,"54,12800791670","28,26841305460"
"72140,00000000000","""Березка"" ст.Слобода",Минская обл.,Смолевичский р-н,д. Переездная,"53,98830146490","27,91942737230"
"72146,00000000000","""Бытовик""",Минская обл.,Смолевичский р-н,д. Буда,"54,12734338290","28,24383115260"
"93948,00000000000","""Волмянское""",Минская обл.,Смолевичский р-н,д. Березовая Гора,"53,87558326920","27,91912383520"
"72163,00000000000","""Горняк""",Минская обл.,Смолевичский р-н,д. Скураты,"54,00330432420","27,94590034570"
"72193,00000000000","""Криница - Зеленстрой""",Минская обл.,Смолевичский р-н,д. Скураты,"54,00606509700","27,94767545690"
"72225,00000000000","""Раница""",Минская обл.,Смолевичский р-н,п. Центральный,"54,03446180060","28,26871828610"
"72231,00000000000","""Родничок""",Минская обл.,Смолевичский р-н,д. Буда,"54,12334909780","28,24146924070"
"72244,00000000000","""Строитель-Калюшки""",Минская обл.,Смолевичский р-н,д. Буда,"54,12472318520","28,26062610140"
"72265,00000000000","""Экономист-1""",Минская обл.,Смолевичский р-н,д. Гончаровка,"53,98672768030","27,90936890600"
"72266,00000000000","""Экономист-3""",Минская обл.,Смолевичский р-н,д. Гончаровка,"53,98309099340","27,90413119650"
"72269,00000000000","""Экран-БТ""",Минская обл.,Смолевичский р-н,д. Рудомейка,"54,07249543810","27,88933372440"
"72268,00000000000","""Эликсир-М""",Минская обл.,Смолевичский р-н,д. Загорье,"53,85334490910","27,92650187660"
"72267,00000000000","""Эликсир-К""",Минская обл.,Смолевичский р-н,д. Подыгрушье,"54,00532591660","27,99555008180"
"72270,00000000000","""Энергетик-1989""",Минская обл.,Смолевичский р-н,д. Гончаровка,"53,98717607100","27,90132238140"
"72273,00000000000","""Энергостроитель"" д.Сутоки",Минская обл.,Смолевичский р-н,д. Сутоки,"54,19311084950","28,10724751190"
"72271,00000000000","""Юбилейное""",Минская обл.,Смолевичский р-н,д. Переездная,"53,99040719960","27,90160339760"
"72272,00000000000","""Яловица""",Минская обл.,Смолевичский р-н,д. Яловица,"54,05333611960","28,30534598070"
"72144,00000000000","""Будауник""",Минская обл.,Смолевичский р-н,д. Точилище,"54,13194631040","28,13694099330"
"72226,00000000000","""Ремонтник""",Минская обл.,Смолевичский р-н,д. Осово,"54,03768098080","28,23135089480"
"72122,00000000000","""Геолог-1992""",Минская обл.,Слуцкий р-н,д. Заградье,"52,97881420060","27,74956753750"
"72123,00000000000","""Захотиново""",Минская обл.,Слуцкий р-н,аг. Вежи,"53,29112638390","27,57715144180"
"82845,00000000000","""Слуцкий Дорожник""",Минская обл.,Слуцкий р-н,д. Буда Гресская,"53,28967740210","27,57371598100"
"72125,00000000000","""Сосновый""",Минская обл.,Слуцкий р-н,аг. Вежи,"53,29304026940","27,58180429320"
"71769,00000000000","""ДРУЖБА-86"" Пуховичский район",Минская обл.,Пуховичский р-н,д. Насыцк,"53,38784114210","28,30425287490"
"71825,00000000000",Связист,Минская обл.,Пуховичский р-н,д. Ушанка,"53,62206327840","27,73355578040"
"71751,00000000000","""Электрик-17""",Минская обл.,Пуховичский р-н,д. Колеюги,"53,38982075820","28,32335092180"
"71749,00000000000","""ЭНЕРГОСТРОИТЕЛЬ"" Пуховичский район",Минская обл.,Пуховичский р-н,д. Блужа,"53,43229303690","28,22533808680"
"71768,00000000000","""Ясно солнце"" Пуховичский район",Минская обл.,Пуховичский р-н,д. Рыбцы,"53,62325524790","27,77759085030"
